Date,SMB,HML,WML,MF,RF
1993-10,2.98065961,2.58723511,3.01110383,NA,NA
1993-11,-9.4227054,-0.5585866,12.6212337,17.6218944,0.6114321
1993-12,-3.774003,7.55343817,-3.3044504,8.29219217,0.61301005
1994-01,5.30046109,-4.1863198,-5.0989601,18.717821,0.85679692
1994-02,3.63938631,-2.5723613,5.06196109,4.88687111,0.6200174
1994-03,2.31439989,-1.8971445,-0.9982933,-13.21238,0.61838312
1994-04,0.04069131,-4.6530623,-1.8947799,-2.6972869,0.56198634
1994-05,1.1405509,5.91757674,-9.7955182,2.65874756,0.62980846
1994-06,-5.5595509,11.4235074,-0.9027474,7.27143852,0.64711683
1994-07,9.23846505,-1.2750652,-10.179052,4.17299793,0.67986136
1994-08,4.41812323,-2.3416929,-2.0933128,8.59465218,0.71637083
1994-09,7.86089434,1.68129983,-4.2078302,-6.0196537,0.66397986
1994-10,4.61075664,9.40081136,0.49052351,0.20725782,0.72884106
1994-11,NA,NA,NA,-0.2637035,0.66707589
1994-12,5.19754487,-6.0056733,-5.3368159,-8.4245909,0.74366995
1995-01,3.76485324,-3.948182,-2.2225273,-9.266371,0.93324697
1995-02,-4.7305415,4.00547593,4.90283498,-7.5551711,0.82128936
1995-03,1.50858679,1.47087817,-1.8894737,-5.6883157,0.94583886
1995-04,-8.4698075,-2.1892617,0.68795429,-9.580867,0.87022231
1995-05,-3.6153981,-4.7778277,-2.3983152,0.25947721,1.02123421
1995-06,-6.0641479,0.34014057,1.6746221,-6.5921109,0.96228981
1995-07,-1.7558851,1.19206888,-1.0351095,3.00312168,1.02767381
1995-08,0.49282016,-2.4487918,6.16473024,-5.2816759,1.0163912
1995-09,-3.8769146,2.1428488,0.74375334,1.27065408,0.94479448
1995-10,-1.0318605,0.28976875,0.80707987,-5.272894,1.05628457
1995-11,-0.2130799,-2.9016934,-2.8842222,-14.746747,1.00586115
1995-12,-1.5578054,-1.3054962,0.35571988,3.65834483,0.97277559
1996-01,-5.7656677,-5.4421216,5.74703318,-8.3167028,1.10769209
1996-02,-2.3803657,-5.9293515,0.09287371,14.1743772,0.97277559
1996-03,-4.7017688,-7.7659503,7.08470685,-0.1546591,0.97277559
1996-04,-10.603408,-0.534751,6.88786754,10.6537476,1.06088157
1996-05,-4.0999925,-3.5763851,10.8766908,-4.6388925,0.99621186
1996-06,-5.2356718,-2.1926246,6.12612566,2.75446177,0.9010752
1996-07,-4.5523416,-5.093099,8.6006247,-11.445251,0.91630918
1996-08,0.81887811,-0.8919365,-4.3575928,-2.9296515,0.72874578
1996-09,-4.1927808,-1.9705874,2.85682001,-10.878223,0.81453226
1996-10,-4.0686862,2.06040194,-1.8823033,-4.8755422,0.80162281
1996-11,-2.5666331,2.77032387,3.3052189,-9.4522497,0.57013438
1996-12,-1.6994297,11.1977885,-12.064464,7.56460339,0.68764139
1997-01,-7.0452626,3.10189132,-13.869331,6.24057003,0.66601032
1997-02,-13.282309,2.19099547,10.1147808,3.61089881,0.57662402
1997-03,-7.2426526,-1.2739748,7.78488614,-5.5035805,0.6480616
1997-04,-8.7107122,-5.7082453,7.61864919,9.69273244,0.52777575
1997-05,-5.6409151,-8.8854069,11.7096384,-1.5225026,0.51590129
1997-06,-9.7571947,-5.7295578,3.12247645,12.3849237,0.56696974
1997-07,9.6417656,16.5823192,-10.526319,3.25864977,0.56323761
1997-08,1.58616717,-0.9644848,-0.8559794,-9.2660817,0.51052479
1997-09,-9.5544335,-2.3036697,14.8112703,-1.7587268,0.57386681
1997-10,-3.2942788,-4.6069553,4.05211121,-3.5665004,0.53745552
1997-11,0.89191824,-9.5142609,8.20208021,-6.4465151,0.47988476
1997-12,-0.9679853,0.76896992,-5.4666873,-0.098641,0.61284728
1998-01,1.78551619,5.05617353,-11.892022,-11.814101,0.57551052
1998-02,-7.1049477,-5.8465151,6.38929514,10.8816316,0.54389296
1998-03,2.55385495,2.74744927,-18.763481,6.35263345,0.62183307
1998-04,4.6098054,10.0742981,-9.92535,6.55198193,0.58285547
1998-05,-1.0091246,9.79164091,3.68272009,-3.1620048,0.56039111
1998-06,1.150084,-14.430095,1.67049698,-17.003031,0.62183307
1998-07,4.3497029,-11.145576,11.9849685,-0.6441939,0.62467681
1998-08,6.54682486,6.53441289,-4.1348649,-3.5654404,0.63392558
1998-09,-1.4654888,-1.2531702,-8.9646225,4.42689983,0.68219677
1998-10,3.15259186,1.23764517,0.74584824,-7.9759988,0.77216338
1998-11,-1.0068639,2.27435527,-3.7475222,-2.5044988,0.75244673
1998-12,0.81126585,-9.3472615,-0.6549621,7.80769588,0.77126182
1999-01,4.19825179,2.21260301,15.1939774,6.68728008,0.72341101
1999-02,-0.9044896,-9.0000285,11.4537481,0.32102473,0.72330388
1999-03,14.2769555,-5.3822576,10.3926474,7.24422219,0.75017361
1999-04,-6.4968469,1.33467183,-3.1624358,-10.188633,0.67619285
1999-05,-7.8397794,-0.8970342,-10.763674,12.0152405,0.68828386
1999-06,-4.9151001,11.4685857,-12.495722,4.76750622,0.70636815
1999-07,2.38541353,2.86037793,-0.3218932,11.4244245,0.73143336
1999-08,13.4189045,8.8561117,-9.5387929,12.8258641,0.77124086
1999-09,-6.1296402,-6.0627275,8.93360267,2.97890317,0.74506412
1999-10,-4.2178818,22.560983,-1.666365,-3.7899774,0.72013944
1999-11,2.49317253,-16.272347,16.1097838,6.81870628,0.78785069
1999-12,12.5922414,-6.1852822,30.4749625,14.4885478,0.70117388
2000-01,-1.1799365,-18.966081,7.70867653,5.6832471,0.75971046
2000-02,5.31382409,-6.4475691,26.6749366,11.8716209,0.66101675
2000-03,-6.0327837,4.38020313,-10.882651,-12.559522,0.7431442
2000-04,-5.4742891,-1.6160643,-21.118912,-22.773565,0.6225224
2000-05,-9.3253184,16.4335159,-19.78188,-9.5089224,0.70660811
2000-06,3.04630255,-6.861447,8.59822089,9.32418956,0.7017127
2000-07,-3.9910877,3.6905431,-10.667409,-11.511471,0.71858341
2000-08,3.97029197,-0.1331196,2.5819424,6.58440687,0.78649263
2000-09,-1.9753916,5.67637682,-2.7303403,-10.912027,0.78265827
2000-10,-2.6542943,8.43275183,-6.1043138,-8.7993241,0.82248989
2000-11,-4.9016544,14.1649623,-9.2145534,7.03759213,0.72180906
2000-12,-1.9085132,5.07500662,0.73248601,-2.347968,0.68282763
2001-01,-9.9087506,5.48351444,6.62765357,6.56106778,0.76770694
2001-02,-2.4027408,12.3329349,16.3680064,-4.2318818,0.6350565
2001-03,-7.0200864,-3.6653762,35.8193052,-21.720447,0.65105529
2001-04,-6.507621,3.51369008,-3.2615239,-1.8489276,0.67925332
2001-05,4.47081335,0.69981009,-7.9171792,6.06790813,0.62840028
2001-06,-3.4915713,-7.9924097,4.83461265,-8.2115933,0.56123998
2001-07,-3.7713293,-0.8035847,16.7162542,-4.5845793,0.60063247
2001-08,5.01973099,-2.4651631,-5.5325977,-1.3869193,0.57070198
2001-09,0.48929236,-0.3788032,21.1936542,-14.223012,0.51823175
2001-10,2.84629486,0.23673724,-13.3251,5.06263349,0.60466203
