scheme_code,scheme_name,category,scheme_type,fund_house
102987,ICICI Prudential Plan I - Year Plus Plan-Growth-Direct,Income,Close Ended Schemes,ICICI Prudential Mutual Fund
103490,Quantum Value Fund - Direct Plan Growth Option,Equity Scheme - Value Fund,Open Ended Schemes,Quantum Mutual Fund
103734,Quantum Liquid Fund - Direct Plan Growth Option,Debt Scheme - Liquid Fund,Open Ended Schemes,Quantum Mutual Fund
111549,Quantum ELSS Tax Saver Fund - Direct Plan Growth Option,Equity Scheme - ELSS,Open Ended Schemes,Quantum Mutual Fund
112039,Quantum Diversified Equity All Cap Active FOF - Direct Plan Growth Option,Other Scheme - FoF Domestic,Open Ended Schemes,Quantum Mutual Fund
115132,Quantum Gold Savings Fund - Direct Plan Growth Option,Other Scheme - FoF Domestic,Open Ended Schemes,Quantum Mutual Fund
116811,IDBI Dynamic Bond Fund Growth Direct,Debt Scheme - Dynamic Bond,Open Ended Schemes,IDBI Mutual Fund
117608,Quantum Multi Asset Active FOF - Direct Plan Growth Option,Other Scheme - FoF Domestic,Open Ended Schemes,Quantum Mutual Fund
118266,Canara Robeco Nifty Index-Direct Plan - Growth,Income,Open Ended Schemes,Canara Robeco Mutual Fund
118267,CANARA ROBECO INFRASTRUCTURE FUND - DIRECT PLAN - GROWTH OPTION,Equity Scheme - Sectoral/ Thematic,Open Ended Schemes,Canara Robeco Mutual Fund
118269,CANARA ROBECO LARGE CAP FUND - DIRECT PLAN - GROWTH OPTION,Equity Scheme - Large Cap Fund,Open Ended Schemes,Canara Robeco Mutual Fund
118272,CANARA ROBECO EQUITY HYBRID FUND - DIRECT PLAN - GROWTH OPTION,Hybrid Scheme - Aggressive Hybrid Fund,Open Ended Schemes,Canara Robeco Mutual Fund
118273,CANARA ROBECO CONSUMPTION FUND - DIRECT PLAN - GROWTH OPTION,Equity Scheme - Sectoral/ Thematic,Open Ended Schemes,Canara Robeco Mutual Fund
118275,CANARA ROBECO FLEXICAP FUND - DIRECT PLAN - GROWTH OPTION,Equity Scheme - Flexi Cap Fund,Open Ended Schemes,Canara Robeco Mutual Fund
118278,CANARA ROBECO LARGE AND MID CAP FUND - DIRECT PLAN - GROWTH OPTION,Equity Scheme - Large & Mid Cap Fund,Open Ended Schemes,Canara Robeco Mutual Fund
