,alpha_ann,alpha_t,beta_MF,beta_MF_t,beta_SMB,beta_SMB_t,beta_HML,beta_HML_t,beta_WML,beta_WML_t,R2
Small Cap Fund,0.029215516017782224,1.1046026933960398,0.8985750917297252,18.479084371667938,0.4347715467309926,8.776070277204422,0.1532278070812792,3.0248159800868484,-0.053643704096637344,-1.080443109475113,0.9155283573411047
Mid Cap Fund,0.04420082848126878,1.5881181483482227,0.915511368981003,17.89162046571056,0.21156233164544316,4.058234937816746,0.004419547809466726,0.08290850260151857,-0.10152527217119096,-1.9431985196757025,0.8806753789888587
Multi Cap Fund,0.001428407785598916,0.05300401884494061,0.9135249344551495,18.437860844528565,0.1050357074790353,2.080846276462752,0.1404005035813164,2.720157761573003,-0.10624722169198159,-2.100219965879741,0.8921647111976061
Large & Mid Cap Fund,0.029940065416227298,1.3071445595819675,0.9193999556032633,21.832772493875662,0.06154375710558938,1.4345025407716454,0.01521720935498043,0.3468763785641945,-0.13519886217838534,-3.1443763482187874,0.9097951779718714
Sectoral/ Thematic,0.013266889818467171,0.584788096293305,0.8832278215294707,21.175597734842544,0.03190172516578664,0.7507407886508748,0.02487516775840018,0.5724851895765573,-0.11890499099925048,-2.7920300951873793,0.9029446391773204
Contra Fund,0.03573276060461777,1.515387487949996,0.8912004049839882,20.557298334913387,0.03020556281252832,0.6838966890417086,0.04680443439645386,1.036365542225094,-0.1313260359661526,-2.966870376155597,0.9004912987772555
Flexi Cap Fund,0.0270891934869702,1.15496177711991,0.8337906695736155,19.33579813774341,0.007231856872903092,0.16461439131516897,0.021006987319943896,0.46763191781292407,-0.16685781934179927,-3.7897338378233516,0.8891531739475466
ELSS,0.009406588238458084,0.42087721205926626,0.9170969641705564,22.31886319199617,-0.024187541567638624,-0.5777785951285802,0.0019163863893259733,0.04476877304357516,-0.1369585746270383,-3.264398090974202,0.9075635377237206
Focused Fund,0.02422195953154935,0.8847168721787507,0.8718510528094212,17.32091649007923,-0.027201069795068762,-0.5304292464185726,-0.015386358909822456,-0.2934267681926054,-0.18567987149531706,-3.6128545013317725,0.859351267126876
Dividend Yield Fund,0.02381491417894822,1.4629355311387484,0.8525033332960555,28.48431559980255,-0.03418316971886647,-1.1210757026210436,0.08580582530680297,2.7520845746665166,-0.06200871201899599,-2.029174926802428,0.9426614176212874
Value Fund,0.02700041293152407,1.29520134523288,0.8594874071895966,22.425386393366242,-0.03464876301772149,-0.8873624704008127,0.1124988207861642,2.8176282113258626,-0.12766233620026204,-3.262272820808178,0.9176351775226106
Large Cap Fund,0.013762659460543166,0.5888319681344464,0.8735490660436604,20.328711662209088,-0.11346871294168867,-2.591860282083028,-0.0017235078628336856,-0.038500921241584274,-0.19951800822688728,-4.547385014696074,0.8915804618134873
