cat_short,CAGR,Vol,Sharpe,MaxDD,N
Small Cap Fund,0.1756900533450989,0.21201934844901094,0.5973415522275303,-0.3572367322693112,86.0
Mid Cap Fund,0.1723939970025481,0.18938459452042844,0.6275687997956585,-0.2940060382018459,86.0
Dividend Yield Fund,0.16589353231415682,0.1613905188781526,0.6674242247255678,-0.2508473581785695,86.0
Contra Fund,0.16313064468060823,0.177367976832162,0.6106998748210707,-0.2733289355473256,86.0
Value Fund,0.16270201540168427,0.17134129433493978,0.6233275838250709,-0.31073022963668584,86.0
Large & Mid Cap Fund,0.15643750564184633,0.18026612120958505,0.5720974529478502,-0.28652923745499537,86.0
Multi Cap Fund,0.1442409897139314,0.19252714284059708,0.49285481618126453,-0.3291324736900323,86.0
Flexi Cap Fund,0.14285409898097656,0.16545667200025463,0.5348664007406139,-0.28550406103711956,86.0
Sectoral/ Thematic,0.13851398613629096,0.1714687666363273,0.4994301977300876,-0.2770571911027345,86.0
Focused Fund,0.13381580046047148,0.17270036290372162,0.47272102827221846,-0.2748825350975618,86.0
ELSS,0.13241324599440163,0.17401431638387227,0.46290978306896136,-0.2702333618890762,86.0
Large Cap Fund,0.12299047307644839,0.1686786830252694,0.4219334788485883,-0.28029420288584694,86.0
