cat_short,CAGR,Vol,Sharpe,MaxDD,N
Small Cap Fund,0.18908349596193053,0.20944973840079903,0.6558042957516637,-0.3156680417301111,87.0
Mid Cap Fund,0.17709161066972134,0.18963394317762733,0.6477715153058612,-0.28580209123336997,87.0
Contra Fund,0.16759141584146509,0.17916538379854532,0.6279250350989635,-0.2826860994726178,87.0
Sectoral/ Thematic,0.1581342629109459,0.16624159225166643,0.6125277435392379,-0.25711746595327156,87.0
Multi Cap Fund,0.1568330743749098,0.18055916767291572,0.5729527470642903,-0.28865162047360693,87.0
Dividend Yield Fund,0.15366956290387224,0.1594033616856224,0.6067259553063066,-0.24814873925661673,87.0
Large & Mid Cap Fund,0.15165812652802724,0.17803835823781272,0.5532291909170283,-0.28385081058522654,87.0
Value Fund,0.14432781387804106,0.18042906018257807,0.5124270326800434,-0.3105868894457693,87.0
Flexi Cap Fund,0.14024684335127557,0.16856945691558683,0.5136938877108322,-0.264686067152319,87.0
Focused Fund,0.1387838823038201,0.1701929533923662,0.5027713552767586,-0.26837307267475563,87.0
ELSS,0.13479236280404727,0.17125586051206484,0.4803469980952459,-0.2732782105488395,87.0
Large Cap Fund,0.12443416631848092,0.16500862604245348,0.4351852770643746,-0.2626986107238869,87.0
