,CAGR,Sharpe,ff4_alpha,ff4_alpha_t,beta_MF,beta_SMB,beta_HML,beta_WML,R2
D1,0.17494132904749038,0.8659737078415879,0.037894617351077915,2.066555204645121,0.8267414460039684,0.0073257509795642255,-0.06098592849159209,-0.03840125855817034,0.9538292146051236
D2,0.18825082646542768,0.9804176177680756,0.05067548335478439,2.686476648962719,0.8069443537113101,-0.0020737840482743827,-0.06989209120072581,-0.018440749403005302,0.9485088943653249
D3,0.1867395809623862,0.954063491057139,0.04430604268256621,2.2522692916558142,0.8159747147979184,-0.01184275256206085,-0.04713054645663792,-0.008957936260998917,0.9460031514623198
D4,0.207167949087796,1.0883490250389067,0.06845162866654253,3.355571325619442,0.8289503022989857,0.0005650646662325558,-0.08579521288576607,-0.0301913484538536,0.9428074147366934
D5,0.18929020725153234,0.9612516599348829,0.047685240956018865,2.2380405381224278,0.8247977593955971,0.000632928136804321,-0.06532808628651,0.0013723268107977693,0.9382693632220119
D6,0.18903297381670314,0.988060636204708,0.053247382288282845,2.7583380200271903,0.8133663707790302,-0.03963264621226377,-0.08058861506315716,-0.022231507667910128,0.9458074002611252
D7,0.191969142546339,0.9924931309655665,0.045138572638674546,2.21049159507822,0.8075169104575273,-0.018489540691141212,-0.03005689348858045,0.010967463241252556,0.9415127013095613
D8,0.21214775739086345,1.0791621796927282,0.06349776721629578,3.307423228252264,0.846241106027098,0.06549277781723783,-0.061151538952021744,0.005898155150523832,0.9535409220155924
D9,0.2147949425564597,1.1161668654356478,0.06038466846314522,2.781242168346297,0.81116564133571,0.06307696639476916,-0.021215359588269752,0.028870025076998013,0.9381138744401858
D10,0.2109337825879909,1.0061448388477239,0.05109953379806753,2.300941474607905,0.8877733855020682,0.09049495499695684,-0.02301626439793529,0.028251003304572836,0.9461698457169396
Spread,-0.03284528427418598,-2.3682083647118657,-0.07478881044288652,-3.048829099858345,-0.061348128806177446,-0.08631795775679002,-0.04297597361758711,-0.06866979447667512,0.24149917503393892
