,CAGR,Sharpe,ff4_alpha,ff4_alpha_t,beta_MF,beta_SMB,beta_HML,beta_WML,R2
D1,0.1847413009621417,0.7269253427941237,0.016499774537356387,0.4619376313230432,0.8585419585659877,0.039078844664357903,0.08567190478216295,-0.23238290395470712,0.8413256634032269
D2,0.18759575593378752,0.7935447486067091,0.028139357608037967,1.1487258183107263,0.8814649018939167,0.020992070005522265,-0.019501321741718133,-0.18660042787659065,0.9095675155676894
D3,0.18240261034222005,0.7670890933771282,0.010790411747625425,0.4811310327678404,0.8772969567814376,0.03094194073675445,0.0337518837744375,-0.15104532634874251,0.9245134542070632
D4,0.1795274284406032,0.7675386011503549,0.011043472094593589,0.4924862650732571,0.8800338264406227,0.025698655404372925,-0.001038259674787781,-0.1211346063600551,0.9204233351205204
D5,0.19400817759701283,0.8091701417443166,0.017835151780268052,0.7305690736709142,0.8871021008748431,0.04966977708147884,0.04119760144155906,-0.1480305824873132,0.9148155366519882
D6,0.19535269092987662,0.8351707560429231,0.01790173824860035,0.8313397233570406,0.9136237779988232,0.03746851525894738,-0.007799872408898539,-0.08733531557581108,0.9293028422255205
D7,0.19602349077885517,0.8076075933006208,0.01056790761198202,0.4451420891793733,0.9058983557566875,0.09458531375791737,0.04878956615712602,-0.10621592165079985,0.9223672420400795
D8,0.2067454985668402,0.8773376762966217,0.015490797072071665,0.7049999160985437,0.9056353253857581,0.0678817655608782,0.04716757723871354,-0.06101472815281427,0.9292364706641021
D9,0.2144211703691412,0.8968707478027329,0.01075149207280488,0.4771982056948356,0.9064518815066398,0.12468476614763689,0.07909988103548299,-0.01986367018751146,0.9291384004661016
D10,0.2065963630554264,0.8406569517855181,-0.009492937190560758,-0.318393400852885,0.8899107501827608,0.1479491526225671,0.1341237092156849,0.041436738298641015,0.8826128377249923
Spread,-0.021325265689984052,-0.7156083829262501,-0.02590571007174415,-0.6362234988920344,-0.027538845532326703,-0.11045069450582767,-0.047471512527907156,-0.2739187723414538,0.17795920330449166
